iter	Passed	Remaining
447	1140	1724
448	1143	1721
449	1145	1718
450	1148	1715
451	1151	1714
452	1153	1711
453	1156	1708
454	1158	1706
455	1161	1703
456	1163	1701
457	1166	1699
458	1168	1696
459	1171	1693
460	1173	1690
461	1175	1687
462	1178	1684
463	1180	1682
464	1183	1679
465	1196	1691
466	1198	1688
467	1201	1686
468	1203	1683
469	1206	1680
470	1208	1677
471	1211	1675
472	1213	1672
473	1216	1670
474	1218	1667
475	1220	1664
476	1223	1661
477	1225	1658
478	1228	1656
479	1230	1653
480	1233	1651
481	1235	1648
482	1238	1645
483	1240	1642
484	1243	1640
485	1245	1637
486	1248	1636
487	1251	1633
488	1253	1630
489	1256	1627
490	1258	1625
491	1261	1622
492	1263	1620
493	1266	1617
494	1268	1614
495	1271	1612
496	1273	1609
497	1276	1606
498	1278	1604
499	1281	1601
500	1284	1599
501	1286	1597
502	1289	1594
503	1291	1591
504	1294	1589
505	1297	1587
506	1299	1584
507	1302	1581
508	1304	1579
509	1307	1576
510	1309	1573
511	1312	1570
512	1314	1568
513	1316	1565
514	1319	1562
515	1321	1559
516	1323	1556
517	1326	1554
518	1329	1551
519	1331	1549
520	1334	1546
521	1336	1544
522	1339	1541
523	1341	1539
524	1344	1536
525	1347	1534
526	1349	1531
527	1352	1528
528	1354	1525
529	1356	1523
530	1359	1520
531	1361	1518
532	1364	1515
533	1366	1512
534	1369	1509
535	1371	1506
536	1373	1504
537	1376	1501
538	1378	1498
539	1381	1496
540	1383	1493
541	1385	1490
542	1388	1488
543	1390	1485
544	1394	1483
545	1396	1481
546	1399	1478
547	1401	1475
548	1404	1473
549	1406	1470
550	1409	1468
551	1412	1465
552	1414	1463
553	1416	1460
554	1419	1457
555	1422	1455
556	1424	1452
557	1427	1450
558	1429	1447
559	1432	1445
560	1434	1442
561	1437	1439
562	1439	1437
563	1442	1434
564	1444	1432
565	1447	1429
566	1449	1426
567	1452	1424
568	1455	1421
569	1457	1419
570	1460	1416
571	1463	1414
572	1465	1411
573	1468	1409
574	1470	1406
575	1473	1404
576	1476	1401
577	1478	1399
578	1479	1395
579	1482	1392
580	1484	1390
581	1487	1387
582	1490	1385
583	1492	1382
584	1495	1380
585	1497	1377
586	1500	1374
587	1502	1372
588	1505	1369
589	1507	1367
590	1510	1364
591	1512	1361
592	1515	1359
593	1518	1357
594	1520	1354
595	1523	1352
596	1526	1349
597	1528	1347
598	1531	1344
599	1533	1341
600	1536	1339
601	1539	1337
602	1541	1334
603	1544	1331
604	1546	1329
605	1548	1326
606	1551	1324
607	1554	1321
608	1556	1319
609	1559	1316
610	1561	1313
611	1564	1311
612	1566	1308
613	1569	1306
614	1572	1303
615	1574	1301
616	1577	1298
617	1579	1295
618	1582	1293
619	1584	1290
620	1587	1288
621	1590	1285
622	1592	1283
623	1594	1280
624	1597	1277
625	1599	1275
626	1602	1272
627	1605	1270
628	1607	1267
629	1610	1265
630	1612	1262
631	1615	1260
632	1617	1257
633	1620	1255
634	1623	1252
635	1625	1250
636	1628	1247
637	1630	1244
638	1633	1242
639	1636	1239
640	1638	1237
641	1641	1234
642	1643	1232
643	1646	1229
644	1648	1226
645	1652	1224
646	1654	1222
647	1657	1220
648	1659	1217
649	1662	1214
650	1664	1212
651	1667	1210
652	1670	1207
653	1672	1204
654	1675	1202
655	1677	1199
656	1680	1196
657	1682	1194
658	1685	1191
659	1687	1189
660	1690	1186
661	1692	1183
662	1695	1181
663	1697	1178
664	1701	1176
665	1703	1174
666	1706	1171
667	1708	1168
668	1711	1166
